#freq [kHz]	V_in [mV]	V_out [mV]	FS_OUT	FS_IN	Delta_phi
15	7000	7680	2000	1000	0
20	7000	8320	2000	1000	0
25	7000	9200	2000	1000	0
30	7000	10500	2000	1000	-2.7
35	6840	12800	2000	1000	-3.15
40	6520	16800	5000	1000	-6.48
45	5640	24400	5000	1000	-12.9
50	2340	33600	5000	500	-52.9
55	4320	25600	5000	1000	-159
60	5960	15600	2000	1000	-169
65	6520	10600	2000	1000	-172
70	6760	7760	1000	1000	-174
75	6760	6000	1000	1000	-176	
51	1880	33600	5000	500	-89.3
52	2240	32400	5000	500	-122
49	3180	32400	5000	500	-33.5
49.5	2760	33000	5000	500	-41.8
50.5	2060	33600	5000	500	-68.1
51.5	1980	33200	5000	500	-106
52.5	2600	31600	5000	500	-135	
49.7	2580	33200	5000	500	-45.6
49.6	2660	33200	5000	500	-43.7
49.8	2500	33600	5000	500	-49.2
49.9	2480	33600	5000	500	-49.8
50.1	2280	33600	5000	500	-55.8
50.2	2200	33600	5000	500	-58.4
50.3	2160	33600	5000	500	-61.8
50.4	2080	33600	5000	500	-64.3
50.5	2040	33600	5000	500	-68.1
50.6	2000	33600	5000	500	-72.7
50.7	1960	33600	5000	500	-75
50.8	1920	33600	5000	500	-80
50.9	1900	33600	5000	500	-93.9
51.1	1880	33600	5000	500	-91.4
51.2	1900	33400	5000	500	-95.7
51.3	1900	33200	5000	500	-99.6
51.4	1940	33200	5000	500	-103
51.5	1980	33200	5000	500	-106
51.6	2020	32800	5000	500	-110
51.7	2080	32800	5000	500	-112
51.8	2120	32800	5000	500	-115
51.9	2160	32400	5000	500	-118
52.1	2300	32400	5000	500	-123
52.2	2400	32000	5000	500	-126
52.3	2440	32000	5000	500	-130
52.4	2520	31600	5000	500	-132
52.5	2600	31600	5000	500	-135
52.6	2660	31200	5000	500	-136
52.7	2740	31200	5000	500	-138
52.8	2800	30800	5000	500	-140
52.9	2880	30800	5000	500	-141
53	2960	30400	5000	500	-142
