#freq[kHz]	V_in[mV]	V_out[mV]	FS_OUT[mV]	FS_IN[mV]	Delta_phi
10	7000	46.00	50	1000	89
15	7000	74.00	50	1000	88.6
17	7000	86.00	50	1000	90
20	7000	104.00	50	1000	89.2
25	7000	104.00	50	1000	86.5
30	6920	190.00	50	1000	84.7
35	6760	266.00	50	1000	83.2
40	6440	388.00	50	1000	79.2
45	5480	612.00	100	1000	70.7
50	2860	880.00	200	1000	25.2
51	2520	888.00	200	1000	3.67
52	2680	880.00	200	500	-21.7
53	3180	856.00	200	500	-41.1
54	3720	816.00	200	500	-52.1
55	4240	764.00	100	500	-60.5
56	4680	716.00	100	1000	-65.3
57	5000	668.00	100	1000	-68.2
58	5400	620.00	100	1000	-71.8
59	5640	580.00	100	1000	-74
60	5880	540.00	100	1000	-75.5
70	6680	320.00	50	1000	-83.7
80	6840	232.00	50	1000	-86.4
90	6920	182.00	50	1000	-86.1
100	7000	148.00	20	1000	-87.2
50.1	2800	880	200	500	23.8
50.2	2760	880	200	500	21.6
50.3	2720	880	200	500	19.5
50.4	2680	888	200	500	16.6
50.5	2640	888	200	500	16
50.6	2620	888	200	500	13.1
50.7	2580	888	200	500	10.9
50.8	2580	888	200	500	8.05
50.9	2560	888	200	500	5.13
51	2520	896	200	500	5.14
51.1	2480	888	200	500	2.94
51.2	2460	888	200	500	0
51.3	2460	888	200	500	-1.48
51.4	2500	888	200	500	-4.44
51.5	2500	888	200	500	-7.42
51.6	2540	888	200	500	-9.67
51.7	2580	888	200	500	-14.1
51.8	2640	888	200	500	-17.1
51.9	2640	888	200	500	-19
52	2700	880	200	500	-21.7
52.1	2740	880	200	500	-24
52.2	2780	880	200	500	-27
52.3	2820	872	200	500	-28.6			
53.7	3560	832	200	500	-47.9
53.6	3520	832	200	500	-47.1
53.5	3480	840	200	500	-45.4
53.4	3400	840	200	500	-45.3
53.3	3340	840	200	500	-43.7
53.2	3280	848	200	500	-42.1		
48.7	3760	872	200	500	47.7
48.8	3540	832	200	500	46.4
48.9	3500	832	200	500	45.7
49	3440	848	200	500	43.7
49.1	3340	848	200	500	42.4
49.2	3300	848	200	500	41.4
